symbol,D1_ar1_rv30,D1_rv30_mean,D1_rv30_std
BTCUSDT,0.9857716671049304,0.02964578602821839,0.013597338952955899
ETHUSDT,0.9885096001136819,0.03987402176265445,0.01770952089535534
SOLUSDT,0.9895116328756145,0.055049666524130084,0.02470576105706892
EUR_USD,0.9917744070136607,0.004516631133490658,0.0014202483886940674
GBP_USD,0.9940220548363252,0.005171695419866105,0.0020582135211509194
USD_JPY,0.9905018082824265,0.005598611772518365,0.0022079678345789805
XAU_USD,0.9912447403704325,0.01023371465672177,0.004263036510874124
SPX500_USD,0.9953186319203109,0.01075454758949089,0.006740584223407818
NAS100_USD,0.9940053455494954,0.014081773848657367,0.006769662481491353
US30_USD,0.9956511502567882,0.010076652123938119,0.006933929826786071
UK100_GBP,0.995898619827766,0.009248091047451118,0.006542500337138098
DE30_EUR,0.9950424699886952,0.011250308039723409,0.007221327513967366
JP225_USD,0.9927644992946172,0.013052931825166427,0.006007625618051309
